timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681911605941,87,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-56,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,87,0,0
1681911606028,138,PodcastPage-1,200,OK,WebinarsAndPodcast 1-56,text,true,,13821,121,24,24,https://app.reorg.com:443/v3,138,0,0
1681911605958,211,PodcastPage,200,OK,WebinarsAndPodcast 1-61,text,true,,14164,238,24,24,https://app.reorg.com:443/v3,79,0,0
1681911605958,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-61,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911606037,132,PodcastPage-1,200,OK,WebinarsAndPodcast 1-61,text,true,,13829,121,24,24,https://app.reorg.com:443/v3,132,0,0
1681911605946,226,PodcastPage,200,OK,WebinarsAndPodcast 1-67,text,true,,14156,238,24,24,https://app.reorg.com:443/v3,81,0,0
1681911605946,81,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-67,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,81,0,0
1681911606027,145,PodcastPage-1,200,OK,WebinarsAndPodcast 1-67,text,true,,13821,121,24,24,https://app.reorg.com:443/v3,145,0,0
1681911605970,203,PodcastPage,200,OK,WebinarsAndPodcast 1-55,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,80,0,0
1681911605970,80,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-55,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,80,0,0
1681911606050,123,PodcastPage-1,200,OK,WebinarsAndPodcast 1-55,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,123,0,0
1681911605977,223,PodcastPage,200,OK,WebinarsAndPodcast 1-65,text,true,,14164,238,24,24,https://app.reorg.com:443/v3,84,0,0
1681911605977,84,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-65,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,84,0,0
1681911606061,139,PodcastPage-1,200,OK,WebinarsAndPodcast 1-65,text,true,,13829,121,24,24,https://app.reorg.com:443/v3,139,0,0
1681911606004,203,PodcastPage,200,OK,WebinarsAndPodcast 1-72,text,true,,14170,238,24,24,https://app.reorg.com:443/v3,80,0,0
1681911606004,80,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-72,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,80,0,0
1681911606085,122,PodcastPage-1,200,OK,WebinarsAndPodcast 1-72,text,true,,13835,121,24,24,https://app.reorg.com:443/v3,122,0,0
1681911606024,202,PodcastPage,200,OK,WebinarsAndPodcast 1-70,text,true,,14164,238,24,24,https://app.reorg.com:443/v3,81,0,0
1681911606024,81,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-70,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,81,0,0
1681911606105,121,PodcastPage-1,200,OK,WebinarsAndPodcast 1-70,text,true,,13829,121,24,24,https://app.reorg.com:443/v3,118,0,0
1681911605674,555,PodcastPage,200,OK,WebinarsAndPodcast 1-74,text,true,,14164,238,24,24,https://app.reorg.com:443/v3,173,0,88
1681911605674,173,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-74,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,173,0,88
1681911605848,381,PodcastPage-1,200,OK,WebinarsAndPodcast 1-74,text,true,,13829,121,24,24,https://app.reorg.com:443/v3,380,0,257
1681911606031,214,PodcastPage,200,OK,WebinarsAndPodcast 1-68,text,true,,14164,238,24,24,https://app.reorg.com:443/v3,85,0,0
1681911606031,85,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-68,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,85,0,0
1681911606116,129,PodcastPage-1,200,OK,WebinarsAndPodcast 1-68,text,true,,13829,121,24,24,https://app.reorg.com:443/v3,128,0,0
1681911606041,210,PodcastPage,200,OK,WebinarsAndPodcast 1-59,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,79,0,0
1681911606041,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-59,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911606120,131,PodcastPage-1,200,OK,WebinarsAndPodcast 1-59,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,130,0,0
1681911606048,204,PodcastPage,200,OK,WebinarsAndPodcast 1-62,text,true,,14170,238,24,24,https://app.reorg.com:443/v3,81,0,0
1681911606048,81,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-62,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,81,0,0
1681911606129,123,PodcastPage-1,200,OK,WebinarsAndPodcast 1-62,text,true,,13835,121,24,24,https://app.reorg.com:443/v3,121,0,0
1681911606058,203,PodcastPage,200,OK,WebinarsAndPodcast 1-64,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,79,0,0
1681911606058,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-64,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911606137,124,PodcastPage-1,200,OK,WebinarsAndPodcast 1-64,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,124,0,0
1681911606057,209,PodcastPage,200,OK,WebinarsAndPodcast 1-60,text,true,,14156,238,24,24,https://app.reorg.com:443/v3,79,0,0
1681911606057,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-60,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911606136,130,PodcastPage-1,200,OK,WebinarsAndPodcast 1-60,text,true,,13821,121,24,24,https://app.reorg.com:443/v3,130,0,0
